-0.034, 58.258, 97.224
-0.993, 58.54, 97.224
-1.953, 58.821, 97.088
-2.916, 59.088, 97.088
-3.881, 59.35, 96.946
-4.85, 59.6, 96.946
-5.82, 59.843, 96.798
-6.792, 60.077, 96.798
-7.767, 60.298, 96.644
-8.743, 60.514, 96.644
-9.723, 60.713, 96.483
-10.705, 60.906, 96.315
-11.688, 61.087, 96.315
-12.674, 61.255, 96.142
-13.661, 61.415, 95.962
-14.651, 61.558, 95.962
-15.642, 61.691, 95.775
-16.634, 61.813, 95.775
-17.629, 61.917, 95.583
-18.624, 62.01, 95.384
-19.621, 62.092, 95.384
-20.619, 62.153, 95.181
-21.618, 62.202, 94.972
-22.617, 62.238, 94.758
-23.617, 62.254, 94.758
-24.617, 62.254, 94.54
-25.617, 62.238, 94.319
-26.616, 62.207, 94.095
-27.615, 62.154, 94.095
-28.612, 62.083, 93.869
-29.608, 61.993, 93.642
-30.602, 61.886, 93.414
-31.594, 61.758, 93.188
-32.583, 61.607, 93.188
-33.568, 61.435, 92.963
-34.549, 61.241, 92.741
-35.525, 61.026, 92.523
-36.497, 60.789, 92.311
-37.462, 60.528, 92.104
-38.421, 60.244, 91.905
-39.372, 59.936, 91.715
-40.315, 59.603, 91.534
-41.249, 59.246, 91.363
-42.173, 58.863, 91.204
-43.086, 58.455, 91.056
-43.987, 58.021, 90.92
-44.875, 57.562, 90.798
-45.75, 57.078, 90.688
-46.61, 56.568, 90.591
-47.455, 56.032, 89.551
-48.283, 55.472, 88.122
-49.094, 54.887, 86.669
-49.887, 54.278, 85.191
-50.661, 53.645, 83.687
-51.415, 52.989, 82.156
-52.15, 52.31, 80.595
-52.862, 51.608, 79.004
-53.551, 50.884, 77.38
-54.218, 50.139, 75.721
-54.862, 49.374, 74.025
-55.483, 48.59, 72.289
-56.079, 47.787, 70.51
-56.649, 46.966, 68.686
-57.194, 46.127, 66.811
-57.715, 45.274, 64.882
-58.208, 44.404, 62.895
-58.673, 43.519, 60.842
-59.114, 42.621, 58.718
-59.526, 41.71, 56.514
-59.908, 40.786, 54.22
-60.265, 39.852, 51.825
-60.589, 38.906, 49.314
-60.886, 37.951, 46.668
-61.151, 36.987, 43.862
-61.384, 36.014, 40.864
-61.585, 35.035, 37.629
-61.751, 34.049, 34.087
-61.88, 33.057, 30.132
-61.972, 32.062, 25.573
-62.023, 31.063, 20
-62.028, 30.053, 0
-62.028, 30.053, 0
-62.132, 10.054, 0
endData
127
100
200
-0.034, 58.258, -47.926, 72.779, -62.307, 44.156, -62.028, 30.053
#PATH.JERRYIO-DATA {"appVersion":"0.6.0","format":"LemLib v0.4.x (inch, byte-voltage)","gc":{"robotWidth":11.811023622047244,"robotHeight":11.811023622047244,"robotIsHolonomic":false,"showRobot":false,"uol":2.54,"pointDensity":1,"controlMagnetDistance":0.7750015500031,"fieldImage":{"displayName":"VRC 2024 - Over Under","signature":"VRC 2024 - Over Under","origin":{"__type":"built-in"}}},"paths":[{"segments":[{"controls":[{"uid":"989v3UdoJz","x":-0.03351051536861694,"y":58.25803096833834,"lock":false,"visible":true,"heading":0,"__type":"end-point"},{"uid":"4EG4xB8LN4","x":-47.925622063015176,"y":72.77925429473846,"lock":false,"visible":true,"__type":"control"},{"uid":"97CbzTvUKX","x":-62.30721824204607,"y":44.15568908404591,"lock":false,"visible":true,"__type":"control"},{"uid":"7B4kpMZucF","x":-62.027963947307605,"y":30.053347199753485,"lock":false,"visible":true,"heading":0,"__type":"end-point"}],"speedProfiles":[],"lookaheadKeyframes":[],"uid":"mKNlcIE38s"}],"pc":{"speedLimit":{"minLimit":{"value":0,"label":"0"},"maxLimit":{"value":127,"label":"127"},"step":1,"from":20,"to":100},"bentRateApplicableRange":{"minLimit":{"value":0,"label":"0"},"maxLimit":{"value":1,"label":"1"},"step":0.001,"from":0,"to":0.1},"maxDecelerationRate":127},"name":"Path","uid":"vxYGEkNMbI","lock":false,"visible":true}]}
